Year of enrolment,ID,CS101,CS102,MA101,MA112,MA121,GS101,GS102,PH101,PH102,PH103,PH104,ST111,ST112,ST121,ST122,ST132,CS201,CS202,CS203,CS204,MA201,MA202,MA211,MA212,MA272,GS202,GS203,OR201,OR202,ST203,ST204,ST211,CS301,CS302,CS303,CS304,CS305,CS306,CS307,CS308,CS309,CS311,CS312,CS314,MA307,MA308,MA381,MA382,MA392,CS497,CS501,CS502,CS503,CS504,CS505,CS506,CS507,CS508,CS509,CS510,CS512,CS597,CS598,MA419,SW499,MM507
,ST17,63,46,44,NA,40,78,73,40,44,45,43,45,45,54,49,62,69,73,77,52,53,57,46,40,41,66,44,47,72,85,51,57,76,77,59,73,69,53,69,62,60,78,73,63,48,48,51,54,96,83,68,86,40,58,57,66,64,53,66,72,42,73,79,61,75,NA
,ST18,48,56,40,NA,40,44,48,55,40,46,40,40,40,41,40,44,64,40,40,41,40,52,41,40,40,56,58,43,40,40,40,40,62,50,46,51,55,43,45,63,40,48,44,41,40,55,40,40,41,58,54,52,56,73,50,67,54,53,52,54,40,50,55,48,58,NA
,ST19,62,55,42,NA,40,42,60,40,40,52,55,42,40,42,47,45,71,50,69,54,51,46,52,47,40,63,40,51,40,58,52,45,47,84,53,80,60,53,64,54,50,70,61,68,51,45,42,40,62,72,69,68,44,60,59,50,55,46,54,50,47,68,61,57,70,NA
,ST20,44,48,40,NA,40,47,50,40,51,44,50,45,41,40,61,58,66,67,67,53,46,43,51,40,43,65,53,57,49,70,66,41,54,59,57,81,45,48,46,67,53,62,52,57,40,46,50,44,62,83,51,57,40,56,58,51,54,49,43,61,40,55,63,54,66,NA
,ST21,59,42,60,NA,40,44,59,42,40,40,66,50,40,53,56,40,65,70,77,67,46,52,52,41,46,58,40,48,54,70,75,40,59,77,61,73,73,59,75,43,62,62,78,67,50,64,60,46,69,76,56,67,62,58,58,46,65,41,60,54,47,54,67,61,63,NA
,ST22,68,57,57,NA,54,74,81,40,41,50,48,56,59,48,60,56,73,79,84,61,46,61,61,40,50,71,55,57,56,86,83,58,77,84,79,87,57,72,65,45,72,79,88,77,58,76,46,71,84,75,70,68,71,67,66,55,63,46,76,80,80,71,86,68,66,NA
,ST23,55,45,40,NA,57,76,60,40,54,40,40,49,47,40,47,44,61,61,63,58,40,40,45,42,46,56,41,46,40,55,40,41,73,63,50,70,65,45,62,44,45,58,60,66,42,40,42,40,54,72,45,66,52,46,55,73,53,45,58,62,43,70,70,60,64,NA
,ST24,40,40,40,NA,48,40,62,47,40,40,40,40,40,40,40,51,61,70,43,40,40,40,50,40,40,51,41,40,40,40,40,41,50,70,50,53,41,46,48,40,41,53,51,57,40,40,55,41,53,50,45,58,51,58,53,47,45,57,51,51,41,66,66,40,56,NA
,ST25,53,40,40,NA,40,64,49,40,40,40,49,40,40,41,57,52,54,70,63,60,40,55,44,40,43,55,46,42,40,51,49,40,45,82,60,71,73,48,70,44,46,61,53,62,40,45,60,50,66,70,66,68,40,50,62,48,60,47,62,61,46,55,62,62,64,NA
,ST26,60,49,40,NA,40,40,51,40,42,50,40,40,40,47,40,40,40,61,69,47,42,54,40,42,40,47,47,45,43,56,40,40,40,58,64,51,40,42,57,42,40,67,43,43,40,50,40,50,53,74,40,45,40,43,40,40,50,40,47,57,41,60,70,40,66,NA
,ST27,66,50,49,NA,51,41,48,40,40,44,40,67,46,41,41,42,59,67,53,46,40,46,40,40,40,60,52,40,40,40,40,40,68,67,60,63,54,40,47,50,40,58,45,53,58,50,46,47,62,75,40,82,40,51,54,46,44,42,63,43,40,55,60,46,65,NA
,ST28,74,61,68,NA,72,60,79,55,49,50,52,45,63,62,74,73,69,76,83,70,53,56,58,40,93,58,40,51,62,74,78,58,65,65,67,50,83,42,64,77,75,62,79,52,47,51,47,40,60,72,72,68,40,68,65,61,62,55,69,58,83,70,82,49,70,NA
,ST29,53,77,64,61,40,51,49,40,46,40,64,53,45,45,40,56,56,43,46,54,56,53,52,66,54,58,49,40,48,48,53,50,81,60,73,67,70,62,40,47,56,43,41,63,55,41,45,60,64,77,55,46,56,76,77,43,50,59,60,55,45,51,65,45,62,NA
,ST30,58,85,42,50,40,91,42,41,40,50,50,84,64,72,60,54,43,80,60,50,53,71,44,42,41,64,41,61,44,76,59,45,77,60,50,54,70,56,64,58,51,66,45,81,53,40,41,57,70,80,50,68,40,66,42,63,57,66,62,68,40,74,77,46,69,NA
,ST31,61,76,62,58,73,85,40,53,50,56,72,64,77,61,60,62,60,80,69,71,64,71,70,71,76,70,58,72,91,84,94,58,81,72,66,61,87,65,67,74,79,72,74,70,63,67,85,61,64,73,72,68,54,83,73,71,62,75,70,69,74,74,81,54,59,NA
,ST32,57,84,63,66,69,63,40,52,52,60,59,70,56,50,55,40,73,53,54,65,71,58,64,71,70,57,55,77,80,60,65,46,69,72,81,60,77,72,67,70,61,55,53,73,61,60,42,45,65,71,50,62,42,76,87,81,52,64,68,57,74,70,62,60,63,NA
,ST33,58,60,40,61,49,46,51,40,40,40,40,48,40,40,50,50,40,67,42,47,72,47,42,40,40,48,42,40,40,46,48,60,65,50,60,58,46,47,48,47,66,53,50,57,48,53,50,46,46,74,50,60,40,67,66,47,43,50,60,54,43,51,57,55,61,NA
,ST34,46,75,47,41,54,63,40,40,40,40,40,47,64,45,47,54,40,50,47,56,60,59,54,40,51,60,47,60,60,66,71,41,46,45,46,43,48,56,55,56,47,43,55,63,55,49,65,47,51,76,50,46,40,72,68,40,45,60,60,48,48,55,60,54,60,NA
,ST35,56,76,45,40,43,85,62,40,40,42,40,58,47,40,48,40,41,73,63,54,52,40,41,65,40,55,48,50,44,40,47,41,79,59,64,57,61,66,67,61,40,40,48,64,49,53,52,55,52,80,40,52,60,76,52,50,40,57,62,58,57,50,60,46,67,NA
,ST36,47,62,48,41,40,40,50,40,40,42,47,57,61,40,53,46,43,50,48,46,42,44,42,46,52,51,40,40,40,68,50,52,62,55,66,40,76,61,67,57,46,53,63,57,43,49,60,70,40,75,46,55,56,67,60,50,50,53,56,40,54,70,74,56,62,NA
,ST37,54,74,61,65,60,66,60,50,47,52,65,40,74,51,49,76,61,63,57,44,63,51,60,75,57,64,40,56,40,78,60,58,64,67,52,57,65,48,75,56,60,56,56,70,40,41,47,52,62,78,45,66,64,54,50,45,40,67,40,44,40,62,58,48,64,NA
,ST38,74,79,45,55,44,68,50,44,41,44,40,71,77,60,41,40,65,67,66,50,53,48,50,44,42,71,54,75,64,53,53,53,69,64,73,47,54,59,65,40,47,47,42,40,51,44,41,41,63,72,63,68,50,60,57,67,51,76,66,50,48,70,61,52,65,NA
,ST39,64,74,43,41,60,76,42,40,41,42,40,56,60,40,47,41,44,50,66,44,52,46,50,44,66,62,41,42,74,63,78,43,80,63,70,54,76,59,67,61,64,65,64,60,54,64,79,62,60,84,51,66,40,76,60,57,45,49,55,49,50,71,78,63,76,NA
,ST40,69,81,49,50,63,61,50,50,50,44,40,65,62,45,40,40,41,43,66,47,44,56,40,40,50,63,51,48,40,70,66,45,72,49,60,66,73,62,45,56,40,41,57,57,55,54,48,52,40,68,45,62,54,54,50,40,51,57,56,51,45,56,45,46,59,NA
,ST41,65,67,65,65,57,40,59,57,54,44,66,64,81,66,56,40,76,77,76,52,51,56,50,71,71,63,54,57,70,69,86,53,77,68,63,60,66,67,67,60,87,75,75,53,44,71,58,72,44,79,46,66,41,64,54,47,75,70,70,67,67,71,65,63,63,NA
,ST42,75,76,83,67,91,75,40,62,59,71,72,74,66,48,50,57,59,77,74,84,52,61,86,66,64,71,59,80,68,72,83,48,82,65,81,68,76,73,59,63,64,70,57,76,65,78,40,70,62,69,74,45,60,82,70,47,57,55,63,71,87,55,56,50,61,NA
,ST43,65,71,58,58,59,86,42,49,50,43,67,72,78,51,52,48,50,48,66,55,47,62,40,53,72,50,41,71,77,67,57,48,72,63,45,49,72,53,67,56,54,70,53,67,60,47,56,53,59,76,45,56,40,55,71,40,47,57,52,47,43,72,80,49,65,NA
,ST44,57,78,40,41,41,66,44,40,40,40,40,48,41,51,42,51,43,47,59,50,41,41,40,40,40,66,48,52,40,49,59,40,67,66,51,55,61,51,67,57,50,44,53,73,40,47,42,44,65,69,50,56,40,61,40,65,40,62,56,56,51,66,60,40,66,NA
,ST45,56,81,58,58,54,63,58,56,50,42,67,78,68,66,87,40,59,43,70,51,66,59,50,45,60,52,54,41,47,85,58,50,76,46,71,65,63,62,67,61,77,57,64,53,55,60,40,61,62,73,56,72,50,61,66,65,60,62,66,62,52,57,71,49,62,NA
,ST46,63,70,41,52,70,67,53,43,47,45,66,59,69,71,44,64,60,73,80,68,48,56,58,78,55,69,50,81,42,78,79,60,78,83,73,79,75,70,48,61,60,49,64,66,46,60,62,56,60,77,62,68,50,89,83,71,79,73,71,60,61,66,67,60,68,NA
,ST47,72,68,57,58,66,65,75,51,42,40,58,48,66,51,50,77,59,67,60,64,53,64,40,41,52,61,49,74,54,85,75,50,84,62,73,66,83,70,59,56,66,71,63,81,54,69,77,60,60,70,67,75,46,79,57,65,52,63,66,63,74,67,68,49,66,NA
,ST48,57,70,56,61,41,89,50,47,44,52,75,75,77,50,46,40,72,53,59,78,52,62,40,51,64,67,41,62,40,76,70,41,79,68,66,71,76,73,68,76,50,62,56,66,56,73,75,60,47,75,63,65,40,87,68,70,65,62,63,64,47,71,62,46,65,NA
,ST49,58,74,41,41,42,63,47,43,40,40,46,49,40,40,40,40,40,47,43,50,41,40,44,40,41,52,52,41,40,40,40,40,80,55,60,66,54,60,55,70,40,52,57,53,40,57,43,58,58,77,54,62,40,72,61,40,61,68,55,51,50,53,68,40,65,NA
,ST50,59,66,54,41,40,48,51,40,40,42,40,61,46,45,44,78,43,53,66,42,47,64,40,40,45,61,51,50,50,73,56,46,57,72,53,60,80,47,67,57,61,45,50,40,59,40,42,41,45,78,56,60,40,75,56,53,58,62,63,58,57,71,73,49,64,NA
,ST51,66,81,44,61,55,45,40,48,40,40,45,41,63,46,58,40,59,70,41,61,61,52,50,40,55,55,54,48,77,58,60,45,66,67,61,71,70,71,64,62,67,60,60,67,49,69,50,40,60,78,45,68,60,81,78,40,61,74,58,59,84,61,79,66,61,NA
,ST52,62,74,77,64,73,89,46,43,54,51,72,70,56,73,70,76,81,70,71,61,62,66,70,60,62,64,53,77,80,63,73,50,73,72,66,67,70,56,59,80,53,67,44,64,57,73,73,50,42,73,55,76,40,84,84,55,64,69,67,57,79,66,58,66,59,NA
,ST53,62,73,48,52,46,68,50,45,40,41,53,58,69,66,40,49,45,70,64,67,57,56,40,54,61,63,45,56,40,66,76,46,68,70,50,65,57,67,53,55,50,66,45,59,51,48,50,70,43,76,56,65,47,70,53,65,46,75,62,59,60,61,58,50,68,NA
